Time,0x180600fd_0b0,0x180601fd_0_1,0x180601fd_2_3,0x180603fd_0_1,0x180603fd_2_3,0x180605fd_0_3,0x180605fd_4_7,0x180606fd_0_3,0x180609fd_0_3
11-29-2022_14.52.14,0,18926,847,1295,100,1798,0,0,1020
11-29-2022_14.56.58,0,18677,848,1295,100,1798,0,0,0
11-29-2022_14.56.58,0,19175,846,1295,100,2042,0,0,2551
11-29-2022_14.56.58,0,18926,847,1295,100,1798,0,0,2551
11-29-2022_14.56.58,0,18802,847,1295,100,1798,0,0,2551
11-29-2022_14.56.58,0,18553,848,1295,100,2042,0,0,2551
11-29-2022_14.56.58,0,19300,845,1295,100,1798,0,0,2551
11-29-2022_14.56.58,0,18179,849,1295,100,1793,0,0,0
11-29-2022_14.56.58,0,18926,847,1295,100,1798,0,0,0
11-29-2022_14.56.58,0,19424,845,1295,100,2042,0,0,0
11-29-2022_14.56.59,0,18802,847,1295,100,1798,0,0,0
11-29-2022_14.56.59,0,18677,848,1295,100,1798,0,0,0
11-29-2022_14.56.59,0,19051,846,1295,100,2042,0,0,2551
11-29-2022_14.56.59,0,18802,847,1295,100,1798,0,0,2551
11-29-2022_14.56.59,0,18428,848,1295,100,1798,0,0,2551
11-29-2022_14.56.59,0,18677,848,1295,100,1798,0,0,2551
11-29-2022_14.56.59,0,19175,845,1295,100,2042,0,0,2551
11-29-2022_14.56.59,0,18553,848,1295,100,1798,0,0,0
11-29-2022_14.56.59,0,18553,848,1295,100,1798,0,0,0
11-29-2022_14.56.59,0,19300,845,1295,100,2042,0,0,0
11-29-2022_14.57.00,0,18802,847,1295,100,1798,0,0,0
11-29-2022_14.57.00,0,18428,848,1295,100,1798,0,0,0
11-29-2022_14.57.00,0,19051,846,1295,100,1798,0,0,2551
11-29-2022_14.57.00,0,18428,848,1295,100,1798,0,0,2551
11-29-2022_14.57.00,0,18677,848,1295,100,1798,0,0,2551
11-29-2022_14.57.00,0,19424,845,1295,100,2042,0,0,2551
11-29-2022_14.57.00,0,18553,848,1295,100,1798,0,0,0
11-29-2022_14.57.00,0,18179,849,1295,100,1793,0,0,0
11-29-2022_14.57.00,0,18926,846,1295,100,2042,0,0,0
11-29-2022_14.57.01,0,19300,845,1295,100,1798,0,0,0
11-29-2022_14.57.01,0,18179,849,1295,100,1793,0,0,0
11-29-2022_14.57.01,0,18428,848,1295,100,2042,0,0,2552
11-29-2022_14.57.01,0,18677,847,1295,100,1798,0,0,2552
11-29-2022_14.57.01,0,18802,847,1295,100,1798,0,0,2552
11-29-2022_14.57.01,0,19175,846,1295,100,2042,0,0,2552
11-29-2022_14.57.01,0,19051,846,1295,100,1798,0,0,0
11-29-2022_14.57.01,0,18553,848,1295,100,1798,0,0,0
11-29-2022_14.57.01,0,19051,847,1295,100,1798,0,0,0
11-29-2022_14.57.02,0,19300,845,1295,100,2042,0,0,0
11-29-2022_14.57.02,0,18304,849,1295,100,1793,0,0,0
