Time,0x180601fd_0_1
,18926
,18677
,19175
,18926
,18802
,18553
,19300
,18179
,18926
,19424
,18802
,18677
,19051
,18802
,18428
,18677
,19175
,18553
,18553
,19300
,18802
,18428
,19051
,18428
,18677
,19424
,18553
,18179
,18926
,19300
,18179
,18428
,18677
,18802
,19175
,19051
11-29-2022_14.57.01,18553
11-29-2022_14.57.01,19051
11-29-2022_14.57.02,19300
11-29-2022_14.57.02,18304
11-29-2022_14.57.02,18677
11-29-2022_14.57.02,18802
11-29-2022_14.57.02,18677
11-29-2022_14.57.02,19175
11-29-2022_14.57.02,19175
11-29-2022_14.57.02,18304
11-29-2022_14.57.02,18677
11-29-2022_14.57.03,19300
11-29-2022_14.57.03,19175
11-29-2022_14.57.03,18926
11-29-2022_14.57.03,19300
11-29-2022_14.57.03,19175
11-29-2022_14.57.03,18179
11-29-2022_14.57.03,18802
11-29-2022_14.57.03,19300
11-29-2022_14.57.03,18553
11-29-2022_14.57.03,18677
11-29-2022_14.57.04,19175
11-29-2022_14.57.04,18926
11-29-2022_14.57.04,18428
11-29-2022_14.57.04,18802
11-29-2022_14.57.04,19300
11-29-2022_14.57.04,18553
11-29-2022_14.57.04,18926
11-29-2022_14.57.04,19300
11-29-2022_14.57.04,18926
11-29-2022_14.57.04,18428
11-29-2022_14.57.05,19051
11-29-2022_14.57.05,19424
11-29-2022_14.57.05,18428
11-29-2022_14.57.05,19300
11-29-2022_14.57.05,18802
11-29-2022_14.57.05,18677
11-29-2022_14.57.05,19051
11-29-2022_14.57.05,19300
11-29-2022_14.57.05,18677
11-29-2022_14.57.06,19051
11-29-2022_14.57.06,19798
11-29-2022_14.57.06,18553
11-29-2022_14.57.06,18553
11-29-2022_14.57.06,19300
11-29-2022_14.57.06,18926
11-29-2022_14.57.06,18677
11-29-2022_14.57.06,19424
11-29-2022_14.57.06,19549
11-29-2022_14.57.06,18553
11-29-2022_14.57.07,18926
11-29-2022_14.57.07,19175
11-29-2022_14.57.07,19175
11-29-2022_14.57.07,19175
11-29-2022_14.57.07,19673
11-29-2022_14.57.07,18677
11-29-2022_14.57.07,18677
11-29-2022_14.57.07,19300
11-29-2022_14.57.07,18428
11-29-2022_14.57.08,18802
11-29-2022_14.57.08,19424
11-29-2022_14.57.08,19175
11-29-2022_14.57.08,18677
11-29-2022_14.57.08,18802
11-29-2022_14.57.08,19549
11-29-2022_14.57.08,18428
11-29-2022_14.57.08,18802
11-29-2022_14.57.08,19549
11-29-2022_14.57.08,18926
11-29-2022_14.57.09,18802
11-29-2022_14.57.09,19175
11-29-2022_14.57.09,19300
11-29-2022_14.57.09,18926
11-29-2022_14.57.09,19300
11-29-2022_14.57.09,18926
11-29-2022_14.57.09,18677
11-29-2022_14.57.09,19424
11-29-2022_14.57.10,18304
11-29-2022_14.58.38,18802
11-29-2022_14.58.38,19424
11-29-2022_14.58.38,18304
11-29-2022_14.58.38,18304
11-29-2022_14.58.38,18926
11-29-2022_14.58.39,18802
11-29-2022_14.58.39,18677
11-29-2022_14.58.39,19175
11-29-2022_14.58.39,19424
11-29-2022_14.58.39,18553
11-29-2022_14.58.39,18802
11-29-2022_14.58.39,19300
11-29-2022_14.58.39,19051
11-29-2022_14.58.39,18179
11-29-2022_14.58.39,19175
11-29-2022_14.58.40,19424
11-29-2022_14.58.40,18553
11-29-2022_14.58.40,18926
11-29-2022_14.58.40,19175
11-29-2022_14.58.40,18677
11-29-2022_14.58.40,18428
11-29-2022_14.58.40,19175
11-29-2022_14.58.40,19424
11-29-2022_14.58.40,18677
11-29-2022_14.58.40,18677
11-29-2022_14.58.41,19424
11-29-2022_14.58.41,18055
11-29-2022_14.58.41,18553
11-29-2022_14.58.41,19549
11-29-2022_14.58.41,18802
11-29-2022_14.58.41,18802
11-29-2022_14.58.41,18926
11-29-2022_14.58.41,19300
11-29-2022_14.58.41,18428
11-29-2022_14.58.41,18677
11-29-2022_14.58.42,19673
11-29-2022_14.58.42,18553
11-29-2022_14.58.42,18802
11-29-2022_14.58.42,19051
11-29-2022_14.58.42,19175
11-29-2022_14.58.42,18677
11-29-2022_14.58.42,18926
11-29-2022_14.58.42,19673
11-29-2022_14.58.42,18677
11-29-2022_14.58.42,18802
11-29-2022_14.58.43,19424
11-29-2022_14.58.43,19175
11-29-2022_14.58.43,18428
11-29-2022_14.58.43,18926
11-29-2022_14.58.43,19549
11-29-2022_14.58.43,18553
11-29-2022_14.58.43,18802
11-29-2022_14.58.43,19549
11-29-2022_14.58.43,18677
11-29-2022_14.58.43,18677
11-29-2022_14.58.44,19051
11-29-2022_14.58.44,19424
11-29-2022_14.58.44,18677
11-29-2022_14.58.44,18926
11-29-2022_14.58.44,19300
11-29-2022_14.58.44,18179
11-29-2022_14.58.44,18428
11-29-2022_14.58.44,18926
11-29-2022_14.58.44,19051
11-29-2022_14.58.44,18677
11-29-2022_14.58.45,19051
11-29-2022_14.58.45,19300
11-29-2022_14.58.45,18304
11-29-2022_14.58.45,18179
11-29-2022_14.58.45,19175
11-29-2022_14.58.45,18926
11-29-2022_14.58.45,18802
11-29-2022_14.58.45,19175
11-29-2022_14.58.45,19300
11-29-2022_14.58.45,18428
11-29-2022_14.58.46,18553
11-29-2022_14.58.46,19300
11-29-2022_14.58.46,18926
11-29-2022_14.58.46,18553
11-29-2022_14.58.46,19051
11-29-2022_14.58.46,19175
11-29-2022_14.58.46,18553
11-29-2022_14.58.46,18677
11-29-2022_14.58.46,19300
11-29-2022_14.58.46,18677
11-29-2022_14.58.47,18802
11-29-2022_14.58.47,19175
11-29-2022_14.58.47,19051
11-29-2022_14.58.47,18428
11-29-2022_14.58.47,18553
11-29-2022_14.58.47,19424
11-29-2022_14.58.47,18677
11-29-2022_14.58.47,19051
11-29-2022_14.58.47,19549
11-29-2022_14.58.47,18304
11-29-2022_14.58.47,18428
11-29-2022_14.58.48,19051
11-29-2022_14.58.48,18802
11-29-2022_14.58.48,18553
