Time,sous_cycle_1
11-29-2022_14.52.14,8145.929335269468
11-29-2022_14.56.58,8048.248239880273
11-29-2022_14.56.58,8243.357368193107
11-29-2022_14.56.58,8145.929335269468
11-29-2022_14.56.58,8092.558562915383
11-29-2022_14.56.58,7994.8144559885795
11-29-2022_14.56.58,8287.287589372323
11-29-2022_14.56.58,7842.889065397329
11-29-2022_14.56.58,8145.929335269468
11-29-2022_14.56.58,8340.532338651192
11-29-2022_14.56.59,8092.558562915383
11-29-2022_14.56.59,8048.248239880273
11-29-2022_14.56.59,8190.049607376631
11-29-2022_14.56.59,8092.558562915383
11-29-2022_14.56.59,7940.949754484856
11-29-2022_14.56.59,8048.248239880273
11-29-2022_14.56.59,8233.613446954108
11-29-2022_14.56.59,7994.8144559885795
11-29-2022_14.56.59,7994.8144559885795
11-29-2022_14.56.59,8287.287589372323
11-29-2022_14.57.00,8092.558562915383
11-29-2022_14.57.00,7940.949754484856
11-29-2022_14.57.00,8190.049607376631
11-29-2022_14.57.00,7940.949754484856
11-29-2022_14.57.00,8048.248239880273
11-29-2022_14.57.00,8340.532338651192
11-29-2022_14.57.00,7994.8144559885795
11-29-2022_14.57.00,7842.889065397329
11-29-2022_14.57.00,8136.311945263246
11-29-2022_14.57.01,8287.287589372323
11-29-2022_14.57.01,7842.889065397329
11-29-2022_14.57.01,7940.949754484856
11-29-2022_14.57.01,8038.75738110683
11-29-2022_14.57.01,8092.558562915383
11-29-2022_14.57.01,8243.357368193107
11-29-2022_14.57.01,8190.049607376631
11-29-2022_14.57.01,7994.8144559885795
11-29-2022_14.57.01,8199.730517078022
11-29-2022_14.57.02,8287.287589372323
11-29-2022_14.57.02,7896.8172865962215
11-29-2022_14.57.02,8038.75738110683
11-29-2022_14.57.02,8092.558562915383
11-29-2022_14.57.02,8038.75738110683
11-29-2022_14.57.02,8243.357368193107
11-29-2022_14.57.02,8243.357368193107
11-29-2022_14.57.02,7896.8172865962215
11-29-2022_14.57.02,8038.75738110683
11-29-2022_14.57.03,8287.287589372323
11-29-2022_14.57.03,8243.357368193107
11-29-2022_14.57.03,8145.929335269468
11-29-2022_14.57.03,8297.095030306491
11-29-2022_14.57.03,8243.357368193107
11-29-2022_14.57.03,7842.889065397329
11-29-2022_14.57.03,8092.558562915383
11-29-2022_14.57.03,8287.287589372323
11-29-2022_14.57.03,7994.8144559885795
11-29-2022_14.57.03,8048.248239880273
11-29-2022_14.57.04,8243.357368193107
11-29-2022_14.57.04,8145.929335269468
11-29-2022_14.57.04,7950.314082025523
11-29-2022_14.57.04,8092.558562915383
11-29-2022_14.57.04,8287.287589372323
11-29-2022_14.57.04,7994.8144559885795
11-29-2022_14.57.04,8145.929335269468
11-29-2022_14.57.04,8287.287589372323
11-29-2022_14.57.04,8145.929335269468
11-29-2022_14.57.04,7950.314082025523
11-29-2022_14.57.05,8190.049607376631
11-29-2022_14.57.05,8340.532338651192
11-29-2022_14.57.05,7940.949754484856
11-29-2022_14.57.05,8287.287589372323
11-29-2022_14.57.05,8092.558562915383
11-29-2022_14.57.05,8048.248239880273
11-29-2022_14.57.05,8190.049607376631
11-29-2022_14.57.05,8287.287589372323
11-29-2022_14.57.05,8038.75738110683
11-29-2022_14.57.06,8199.730517078022
11-29-2022_14.57.06,8491.064869366766
11-29-2022_14.57.06,7994.8144559885795
11-29-2022_14.57.06,7994.8144559885795
11-29-2022_14.57.06,8297.095030306491
11-29-2022_14.57.06,8145.929335269468
11-29-2022_14.57.06,8048.248239880273
11-29-2022_14.57.06,8350.402791122968
11-29-2022_14.57.06,8394.206481069406
11-29-2022_14.57.06,7994.8144559885795
11-29-2022_14.57.07,8145.929335269468
11-29-2022_14.57.07,8243.357368193107
11-29-2022_14.57.07,8243.357368193107
11-29-2022_14.57.07,8243.357368193107
11-29-2022_14.57.07,8437.454246643721
11-29-2022_14.57.07,8048.248239880273
11-29-2022_14.57.07,8048.248239880273
11-29-2022_14.57.07,8297.095030306491
11-29-2022_14.57.07,7950.314082025523
11-29-2022_14.57.08,8092.558562915383
11-29-2022_14.57.08,8350.402791122968
11-29-2022_14.57.08,8243.357368193107
11-29-2022_14.57.08,8048.248239880273
11-29-2022_14.57.08,8102.112941383996
11-29-2022_14.57.08,8394.206481069406
11-29-2022_14.57.08,7950.314082025523
11-29-2022_14.57.08,8092.558562915383
11-29-2022_14.57.08,8394.206481069406
11-29-2022_14.57.08,8145.929335269468
11-29-2022_14.57.09,8092.558562915383
11-29-2022_14.57.09,8243.357368193107
11-29-2022_14.57.09,8287.287589372323
11-29-2022_14.57.09,8145.929335269468
11-29-2022_14.57.09,8287.287589372323
11-29-2022_14.57.09,8145.929335269468
