Time,0x180600fd_0b0,0x180601fd_4_5
11-15-2022_21.06.49,0,2640
11-15-2022_21.06.49,0,2640
11-15-2022_21.06.49,0,2640
11-15-2022_21.06.49,0,2640
11-15-2022_21.06.49,0,2660
11-15-2022_21.06.50,0,2650
11-15-2022_21.06.50,0,2630
11-15-2022_21.06.50,0,2650
11-15-2022_21.06.50,0,2640
11-15-2022_21.06.50,0,2650
11-15-2022_21.06.50,0,2620
11-15-2022_21.06.50,0,2660
11-15-2022_21.06.50,0,2650
11-15-2022_21.06.50,0,2640
11-15-2022_21.06.50,0,2640
11-15-2022_21.06.51,0,2630
11-15-2022_21.06.51,0,2640
11-15-2022_21.06.51,0,2650
11-15-2022_21.06.51,0,2640
11-15-2022_21.06.51,0,2640
11-15-2022_21.06.51,0,2660
11-15-2022_21.06.51,0,2650
11-15-2022_21.06.51,0,2630
11-15-2022_21.06.51,0,2640
11-15-2022_21.06.51,0,2650
11-15-2022_21.06.52,0,2650
11-15-2022_21.06.52,0,2640
11-15-2022_21.06.52,0,2640
11-15-2022_21.06.52,0,2640
11-15-2022_21.06.52,0,2640
11-15-2022_21.06.52,0,2640
11-15-2022_21.06.52,0,2640
11-15-2022_21.06.52,0,2630
11-15-2022_21.06.52,0,2660
11-15-2022_21.06.52,0,2640
11-15-2022_21.06.53,0,2630
11-15-2022_21.06.53,0,2630
11-15-2022_21.06.53,0,2650
11-15-2022_21.06.53,0,2620
11-15-2022_21.06.53,0,2640
11-15-2022_21.06.53,0,2640
11-15-2022_21.06.53,0,2640
11-15-2022_21.06.53,0,2650
11-15-2022_21.06.53,0,2640
11-15-2022_21.06.53,0,2650
11-15-2022_21.06.53,1,2650
11-15-2022_21.06.54,1,2650
11-15-2022_21.06.54,1,2640
11-15-2022_21.06.54,1,2640
11-15-2022_21.06.54,1,2640
11-15-2022_21.06.54,1,2650
11-15-2022_21.06.54,1,2630
11-15-2022_21.06.54,1,2630
11-15-2022_21.06.54,1,2650
11-15-2022_21.06.54,1,2650
11-15-2022_21.06.54,1,2640
11-15-2022_21.06.55,1,2650
11-15-2022_21.06.55,1,2630
11-15-2022_21.06.55,1,2640
11-15-2022_21.06.55,1,2660
11-15-2022_21.06.55,1,2660
11-15-2022_21.06.55,1,2640
11-15-2022_21.06.55,1,2650
11-15-2022_21.06.55,1,2640
11-15-2022_21.06.55,1,2640
11-15-2022_21.06.55,1,2650
11-15-2022_21.06.56,1,2640
11-15-2022_21.06.56,1,2630
11-15-2022_21.06.56,1,2640
11-15-2022_21.06.56,1,2650
11-15-2022_21.06.56,1,2620
11-15-2022_21.06.56,1,2640
11-15-2022_21.06.56,1,2640
11-15-2022_21.06.56,1,2640
11-15-2022_21.06.56,1,2640
11-15-2022_21.06.56,1,2640
11-15-2022_21.06.57,1,2650
11-15-2022_21.06.57,1,2650
11-15-2022_21.06.57,1,2640
11-15-2022_21.06.57,1,3308
11-15-2022_21.06.57,1,3895
11-15-2022_21.06.57,1,3965
11-15-2022_21.06.57,1,4164
11-15-2022_21.06.57,1,4523
11-15-2022_21.06.57,1,4981
11-15-2022_21.06.57,1,5419
11-15-2022_21.06.58,1,5718
11-15-2022_21.06.58,1,5877
11-15-2022_21.06.58,1,6017
11-15-2022_21.06.58,1,6077
11-15-2022_21.06.58,1,6226
11-15-2022_21.06.58,1,6336
11-15-2022_21.06.58,1,6515
11-15-2022_21.06.58,1,6505
11-15-2022_21.06.58,1,6555
11-15-2022_21.06.58,1,6525
11-15-2022_21.06.59,1,6515
11-15-2022_21.06.59,1,6605
11-15-2022_21.06.59,1,6625
11-15-2022_21.06.59,1,6684
11-15-2022_21.06.59,1,6734
11-15-2022_21.06.59,1,6784
11-15-2022_21.06.59,1,6903
11-15-2022_21.06.59,1,7033
11-15-2022_21.06.59,1,7142
11-15-2022_21.06.59,1,7172
11-15-2022_21.07.00,1,7242
11-15-2022_21.07.00,1,7272
11-15-2022_21.07.00,1,7322
11-15-2022_21.07.00,1,7392
11-15-2022_21.07.00,1,7451
11-15-2022_21.07.00,1,7501
11-15-2022_21.07.00,1,7521
11-15-2022_21.07.00,0,7551
11-15-2022_21.07.00,0,7561
11-15-2022_21.07.00,0,7601
11-15-2022_21.07.01,0,7680
11-15-2022_21.07.01,0,7780
11-15-2022_21.07.01,0,7850
11-15-2022_21.07.01,0,7860
11-15-2022_21.07.01,0,7939
11-15-2022_21.07.01,0,8009
11-15-2022_21.07.01,0,8009
11-15-2022_21.07.01,0,8029
11-15-2022_21.07.01,0,8049
11-15-2022_21.07.01,0,8029
11-15-2022_21.07.02,0,8029
11-15-2022_21.07.02,0,8069
11-15-2022_21.07.02,0,8159
11-15-2022_21.07.02,0,8318
11-15-2022_21.07.02,0,8457
11-15-2022_21.07.02,0,8537
11-15-2022_21.07.02,0,8706
11-15-2022_21.07.02,0,8975
11-15-2022_21.07.02,0,9184
11-15-2022_21.07.02,0,9414
11-15-2022_21.07.03,0,9583
11-15-2022_21.07.03,0,9673
11-15-2022_21.07.03,0,9862
11-15-2022_21.07.03,0,10171
11-15-2022_21.07.03,0,10440
11-15-2022_21.07.03,0,10619
11-15-2022_21.07.03,0,10918
11-15-2022_21.07.03,0,11077
11-15-2022_21.07.03,0,11167
11-15-2022_21.07.03,0,11286
11-15-2022_21.07.04,0,11296
11-15-2022_21.07.04,0,11276
