Time,C9,C1,C2,C3,C4,C5,C6,C7,C8
11-29-2022_14.52.14,0.0,92.55621683967705,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,1.015858145660417
11-29-2022_14.56.58,0.0,91.33850057670128,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.56.58,0.0,93.77393310265283,846.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.5406413035095334
11-29-2022_14.56.58,0.0,92.55621683967705,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.56.58,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.56.58,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.5406413035095334
11-29-2022_14.56.58,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.56.58,0.0,88.90306805074971,849.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.56.58,0.0,92.55621683967705,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.56.58,0.0,94.9916493656286,845.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.56.59,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.56.59,0.0,91.33850057670128,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.56.59,0.0,93.16752018454441,846.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.5406413035095334
11-29-2022_14.56.59,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.56.59,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.56.59,0.0,91.33850057670128,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.56.59,0.0,93.77393310265283,845.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.5406413035095334
11-29-2022_14.56.59,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.56.59,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.56.59,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.57.00,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.00,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.00,0.0,93.16752018454441,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.57.00,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.57.00,0.0,91.33850057670128,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.57.00,0.0,94.9916493656286,845.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.5406413035095334
11-29-2022_14.57.00,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.00,0.0,88.90306805074971,849.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.57.00,0.0,92.55621683967705,846.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.57.01,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.01,0.0,88.90306805074971,849.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.57.01,0.0,90.1207843137255,848.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.541637242868024
11-29-2022_14.57.01,0.0,91.33850057670128,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.541637242868024
11-29-2022_14.57.01,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.541637242868024
11-29-2022_14.57.01,0.0,93.77393310265283,846.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.541637242868024
11-29-2022_14.57.01,0.0,93.16752018454441,846.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.01,0.0,90.73208765859285,848.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.01,0.0,93.16752018454441,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.02,0.0,94.38523644752019,845.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.57.02,0.0,89.51437139561708,849.0,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.57.02,0.0,91.33850057670128,847.0,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.541637242868024
11-29-2022_14.57.02,0.0,91.94980392156863,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.541637242868024
11-29-2022_14.57.02,0.0,91.33850057670128,847.0,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.541637242868024
