Time,cycle_puissance
11-29-2022_14.52.14,309261.15783946705
11-29-2022_14.56.58,305436.543891928
11-29-2022_14.56.58,313076.3934542656
11-29-2022_14.56.58,309262.6826226249
11-29-2022_14.56.58,307173.55388804787
11-29-2022_14.56.58,303347.50783467793
11-29-2022_14.56.58,314795.9656816871
11-29-2022_14.56.58,297398.0285458997
11-29-2022_14.56.58,309260.1419813214
11-29-2022_14.56.58,316877.6393071653
11-29-2022_14.56.59,307171.01324674435
11-29-2022_14.56.59,305436.543891928
11-29-2022_14.56.59,310989.7312235074
11-29-2022_14.56.59,307173.55388804787
11-29-2022_14.56.59,301239.0263529042
11-29-2022_14.56.59,305439.0845332315
11-29-2022_14.56.59,312694.9804645341
11-29-2022_14.56.59,303344.9486535321
11-29-2022_14.56.59,303344.9486535321
11-29-2022_14.56.59,314793.4435802259
11-29-2022_14.57.00,307171.01324674435
11-29-2022_14.57.00,301236.4857116007
11-29-2022_14.57.00,310989.71268366504
11-29-2022_14.57.00,301239.0263529042
11-29-2022_14.57.00,305439.0845332315
11-29-2022_14.57.00,316880.1799484688
11-29-2022_14.57.00,303344.9486535321
11-29-2022_14.57.00,297398.0285458997
11-29-2022_14.57.00,308883.70043022983
11-29-2022_14.57.01,314793.4250403836
11-29-2022_14.57.01,297398.0285458997
11-29-2022_14.57.01,301239.0458886859
11-29-2022_14.57.01,305067.57833703456
11-29-2022_14.57.01,307173.55488398724
11-29-2022_14.57.01,313076.39445020497
11-29-2022_14.57.01,310987.1720423615
11-29-2022_14.57.01,303344.9486535321
11-29-2022_14.57.01,311366.11852827406
11-29-2022_14.57.02,314793.4435802259
11-29-2022_14.57.02,299508.9778828099
11-29-2022_14.57.02,305067.5968768769
11-29-2022_14.57.02,307173.55488398724
11-29-2022_14.57.02,305067.57833703456
11-29-2022_14.57.02,313076.37591036264
11-29-2022_14.57.02,313073.83427311975
11-29-2022_14.57.02,299508.9778828099
11-29-2022_14.57.02,305065.0366997917
11-29-2022_14.57.03,314793.4435802259
11-29-2022_14.57.03,313073.8528129621
11-29-2022_14.57.03,309262.6836185643
11-29-2022_14.57.03,315179.88460217894
11-29-2022_14.57.03,313076.37591036264
11-29-2022_14.57.03,297400.5701831426
11-29-2022_14.57.03,307173.55488398724
11-29-2022_14.57.03,314793.4435802259
11-29-2022_14.57.03,303344.9671933744
11-29-2022_14.57.03,305436.543891928
11-29-2022_14.57.04,313073.8528129621
11-29-2022_14.57.04,309260.1419813214
11-29-2022_14.57.04,301605.5822582069
11-29-2022_14.57.04,307173.5558799266
11-29-2022_14.57.04,314795.9862134082
11-29-2022_14.57.04,303347.4912867143
11-29-2022_14.57.04,309262.68461450364
11-29-2022_14.57.04,314793.4435802259
